brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
BMW,128 i,2013.0,119133.0,3.0,6,1.0,Gasoline,Rear-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,4.0,Unknown,Alpine White,18900
Nissan,Pathfinder SV,2018.0,59314.0,3.5,CVT,1.0,Gasoline,Four-wheel Drive,4.5,1.0,0.0,0.0,0.0,1.0,8.0,Charcoal,Caspian Blue,22995
Porsche,944 S2,1991.0,50471.0,3.0,5,0.0,Gasoline,Rear-wheel Drive,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Red,24900
Mercedes-Benz,GLE 350,2020.0,36755.0,2.0,9,1.0,Gasoline,Four-wheel Drive,5.0,1.0,1.0,1.0,1.0,1.0,10.0,Espresso Brown,Polar White,47890
Alfa,Romeo Giulia Ti,2017.0,55362.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,3.0,0.0,0.0,0.0,1.0,1.0,8.0,Black,Alfa Black,20600
MINI,Cooper S Countryman Base,2012.0,95559.0,1.6,6,1.0,Gasoline,Four-wheel Drive,5.5,0.0,0.0,1.0,0.0,1.0,2.0,Black,White,12995
MINI,Countryman John Cooper Works ALL4,2019.0,33353.0,2.0,6,0.0,Gasoline,Four-wheel Drive,4.5,0.0,0.0,1.0,1.0,1.0,6.0,Carbon Black,Gray,34988
Cadillac,XT4 Premium Luxury,2019.0,10435.0,2.0,9,1.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,9.0,Black,Stellar Black Metallic,33256
Lexus,NX 350 F SPORT Handling,2022.0,6484.0,2.4,8,1.0,Gasoline,Four-wheel Drive,5.0,0.0,1.0,1.0,1.0,1.0,5.0,Red,Black,52647
FIAT,500 Sport,2013.0,129287.0,1.4,6,1.0,Gasoline,Front-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,3.0,Black,Bianco White,6838
Cadillac,Escalade Premium,2016.0,89175.0,6.2,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,0.0,0.0,1.0,11.0,Jet Black,Crystal White Tri-Coat,36463
Nissan,NV Cargo NV2500 HD SV V6/SV V8,2021.0,18106.0,4.0,5,1.0,Gasoline,Rear-wheel Drive,3.5,0.0,1.0,1.0,0.0,0.0,4.0,Gray,Glacier White,43990
Audi,Q5 3.2 Premium,2010.0,87572.0,3.2,6,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,1.0,0.0,1.0,3.0,Black,Silver,12985
BMW,228 Gran Coupe i xDrive,2020.0,26052.0,2.0,8,1.0,Gasoline,Four-wheel Drive,5.0,0.0,1.0,1.0,1.0,1.0,8.0,Black,Jet Black,32329
Ford,Edge ST,2020.0,17367.0,2.7,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,12.0,Ebony,Iconic Silver Metallic,38000
Volvo,XC60 T6 Momentum,2019.0,41152.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.0,0.0,0.0,0.0,0.0,1.0,12.0,Gray,Bright Silver Metallic,34980
Volkswagen,Golf GTI 2.0T Autobahn,2022.0,14036.0,2.0,6,0.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,9.0,Titan Black,Deep Black Pearl Effect,38588
Audi,Q5 2.0T Premium Plus,2017.0,89654.0,2.0,8,1.0,Flex Fuel,Four-wheel Drive,3.5,1.0,1.0,1.0,1.0,1.0,10.0,Chestnut Brown,Glacier White Metallic,19989
FIAT,500C Lounge,2015.0,82978.0,1.4,6,1.0,Gasoline,Front-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,2.0,Black,White,9999
Honda,Civic EX,2022.0,13712.0,1.5,CVT,1.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,11.0,Black,Platinum White Pearl,25900
Audi,Q3 45 S line Premium Plus,2020.0,48813.0,2.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,1.0,1.0,11.0,Black,Chronos Gray Metallic,30991
Land,Rover Discovery Landmark Edition,2020.0,27448.0,3.0,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,10.0,Ebony / Ebony,Yulong White,50762
BMW,840 i,2023.0,7652.0,3.0,8,1.0,Gasoline,Rear-wheel Drive,3.5,0.0,1.0,1.0,1.0,0.0,9.0,Black,Black Sapphire Metallic,79998
Chevrolet,Blazer RS,2021.0,35492.0,3.6,9,1.0,Gasoline,Front-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,10.0,Jet Black,Bright Blue Metallic,37511
Honda,Insight Touring,2019.0,6954.0,1.5,CVT,1.0,Hybrid,Front-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,13.0,Black,Aegean Blue Metallic,26760
Ford,Bronco Raptor,2022.0,6400.0,3.0,10,1.0,Gasoline,Four-wheel Drive,0.5,0.0,1.0,1.0,1.0,1.0,8.0,Black Onyx,Shadow Black,102995
