"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Maserati","Levante S",2020,62091,3,"Four-wheel Drive",5,0,1,11,35985
"Alfa","Romeo Stelvio Ti",2020,23343,2,"Four-wheel Drive",3,1,1,10,35881
"Cadillac","XT5 Luxury",2019,21904,3.6,"Four-wheel Drive",4.5,0,1,10,35422
"Alfa","Romeo Stelvio Ti",2020,34962,2,"Four-wheel Drive",4.5,0,1,10,32288
"Nissan","Sentra SV",2017,118683,1.8,"Front-wheel Drive",3,0,0,5,12995
"Chevrolet","Corvette Stingray Z51",2016,42593,6.2,"Rear-wheel Drive",6,0,1,8,46750
"Nissan","Maxima 3.5 S",2017,99169,3.5,"Front-wheel Drive",10,1,0,8,17995
"Mitsubishi","Outlander Sport ES",2015,150104,2,"Front-wheel Drive",12,0,0,2,6987
"FIAT","500 Sport",2015,69063,1.4,"Front-wheel Drive",4.5,1,0,2,9950
"Volvo","S60 T5 Momentum",2019,27791,2,"Front-wheel Drive",6,0,0,8,26545
"Jaguar","F-TYPE R",2017,42249,5,"Four-wheel Drive",3.5,1,0,7,46990
"Mercedes-Benz","CLK-Class CLK 350",2009,96405,3.5,"Rear-wheel Drive",2.5,1,0,5,12995
"Ford","F-150 STX",2011,129656,3.7,"Rear-wheel Drive",3,0,1,1,9888
"Mitsubishi","Outlander Sport 2.0 SE",2021,45010,2,"Four-wheel Drive",3,0,1,6,21486
"Porsche","Cayenne Diesel",2016,61462,3,"Four-wheel Drive",2,0,0,8,41750
"Ford","F-150 Lariat",2021,15510,3.5,"Four-wheel Drive",2.5,0,1,12,56025
"FIAT","500X Trekking",2016,60763,2.4,"Four-wheel Drive",4.5,0,0,5,12995
"Audi","Q5 45 S line Premium Plus",2023,5546,2,"Four-wheel Drive",2.5,0,1,7,53984
"MINI","Hardtop Cooper",2016,83882,1.5,"Front-wheel Drive",5,1,0,5,13000
"Land","Rover Discovery Sport S",2021,24543,2,"Four-wheel Drive",2,0,1,7,32975
"Maserati","GranTurismo Sport",2018,12344,4.7,"Rear-wheel Drive",3.5,0,1,9,77800
"Alfa","Romeo 4C Spider Spider",2018,24555,1.7,"Rear-wheel Drive",3,1,0,7,58681
"Land","Rover Defender S",2023,3380,2,"Four-wheel Drive",2.5,0,1,9,84950
"Alfa","Romeo Giulia Ti",2017,94097,2,"Rear-wheel Drive",4.5,1,0,8,19981
"Land","Rover Range Rover Velar P380 SE R-Dynamic",2018,47207,3,"Four-wheel Drive",3,0,0,9,36642
"Hyundai","Santa Fe HEV Blue",2022,17271,1.6,"Four-wheel Drive",2.5,0,1,8,32695
"MINI","Hardtop Oxford Edition",2019,20982,1.5,"Front-wheel Drive",4.5,0,1,7,21497
"Lexus","GX 470 Base (A5)",2008,107602,4.7,"Four-wheel Drive",4,1,0,3,14500
"Jeep","Liberty Limited",2003,148933,3.7,"Four-wheel Drive",2.5,1,1,0,5799
"Hyundai","Elantra Sport",2017,99447,1.6,"Front-wheel Drive",3,0,0,11,13622
"Volkswagen","Arteon 2.0T SEL Premium R-Line",2019,24892,2,"Four-wheel Drive",5,0,1,10,30499
"Kia","Rio S",2023,5490,1.6,"Front-wheel Drive",3,0,1,4,20991
"Porsche","Panamera 4",2019,35736,3,"Four-wheel Drive",2,0,0,10,69550
"Ford","Explorer Limited",2022,35760,2.3,"Four-wheel Drive",3.5,0,1,11,41661
"Lexus","ES 350 Base",2018,60112,3.5,"Front-wheel Drive",2.5,1,0,7,22488
"Honda","Passport EX-L",2020,25475,3.5,"Front-wheel Drive",2.5,0,1,12,34000
"Mitsubishi","Outlander ES",2018,61467,2.4,"Four-wheel Drive",3.5,0,1,8,20000
"Mazda","MX-5 Miata Grand Touring",2018,18789,2,"Rear-wheel Drive",4,1,1,7,23992
"MINI","Countryman Cooper S",2015,87644,1.6,"Front-wheel Drive",4,0,0,7,12900
"Hyundai","Sonata SEL",2019,44886,2.4,"Front-wheel Drive",2.5,0,0,8,23375
"Honda","CR-V EX",2019,48302,1.5,"Front-wheel Drive",3,1,1,11,27145
"Chevrolet","Tahoe Z71",2021,32875,5.3,"Four-wheel Drive",2,0,0,9,62819
"Alfa","Romeo Giulia Ti",2020,47340,2,"Rear-wheel Drive",3,0,0,12,32899
"Jaguar","F-PACE 25t Premium",2020,34653,2,"Four-wheel Drive",4.5,0,0,9,33476
"Chevrolet","Malibu 1LT",2016,40270,1.5,"Front-wheel Drive",5,0,0,7,17200
"FIAT","500X Trekking",2019,37120,1.3,"Four-wheel Drive",3,0,1,9,21495
"Alfa","Romeo Giulia Ti",2022,17352,2,"Four-wheel Drive",3,0,1,8,41880
"Alfa","Romeo Stelvio Ti",2022,10267,2,"Four-wheel Drive",4,0,1,11,39754
"Mazda","Mazda3 Sport",2017,51355,2,"Front-wheel Drive",3.5,1,1,1,15800
"MINI","Hardtop Cooper S",2019,41799,2,"Front-wheel Drive",3,0,0,6,20980
"Jaguar","XJ Base",2015,50960,3,"Four-wheel Drive",3.5,0,0,9,24372
"Alfa","Romeo Stelvio Ti Sport",2020,18441,2,"Four-wheel Drive",3,0,1,8,34900
"Maserati","Quattroporte GTS",2014,75017,3.8,"Rear-wheel Drive",3.5,0,0,10,24494
"Audi","Q5 40 Premium Plus",2021,35483,2,"Four-wheel Drive",2.5,0,1,10,41578
"Porsche","911 Carrera 4S",2017,15356,3,"Four-wheel Drive",2,0,0,8,108871
"Hyundai","Palisade SE",2020,37023,3.8,"Four-wheel Drive",5,0,1,7,33477
"Honda","Accord EX-L",2011,54269,2.4,"Front-wheel Drive",5.5,0,0,5,15992
"Porsche","Macan Base",2022,9645,2,"Four-wheel Drive",5,0,0,10,58990
"Chevrolet","Silverado 1500 LD LT",2019,42855,5.3,"Four-wheel Drive",3,0,0,5,36500
"Porsche","Macan GTS",2022,10802,2.9,"Four-wheel Drive",3,0,1,12,117900
"Mitsubishi","Outlander Sport ES",2017,74185,2,"Front-wheel Drive",2.5,0,0,3,13999
"Porsche","911 Carrera",2001,58538,3.4,"Rear-wheel Drive",3,0,0,1,29995
"Toyota","Tundra SR5",2021,37958,5.7,"Four-wheel Drive",2,1,1,6,43599
"Jaguar","XF SC",2014,128878,3,"Four-wheel Drive",3.5,0,0,6,10999
"Alfa","Romeo Giulia Ti",2020,12206,2,"Four-wheel Drive",3,0,1,9,29495
"Hyundai","Elantra SEL",2018,88087,2,"Front-wheel Drive",3.5,0,0,5,14107
"FIAT","500C Lounge",2012,111399,1.4,"Front-wheel Drive",4,1,0,2,7950
"Land","Rover Discovery Sport S",2021,18387,2,"Four-wheel Drive",2.5,0,0,8,35037
"Mitsubishi","Outlander GT",2016,73472,3,"Four-wheel Drive",2.5,0,1,9,17499
"Mercedes-Benz","AMG GLE 53 Base",2021,8485,3,"Four-wheel Drive",3.5,0,1,10,75999
"Mitsubishi","Outlander Sport 2.0 ES",2020,39024,2,"Four-wheel Drive",2.5,1,1,4,19622
"Cadillac","CT5 Luxury RWD",2020,43293,2,"Rear-wheel Drive",5.5,1,0,10,26359
"Land","Rover Range Rover Velar P380 HSE R-Dynamic",2018,34490,3,"Four-wheel Drive",2.5,0,0,11,46966
"Ford","Expedition EL XLT",2016,128276,3.5,"Rear-wheel Drive",3,1,0,6,16785
"Volkswagen","Tiguan 2.0T S",2017,38756,2,"Four-wheel Drive",4.5,0,0,7,20998
"Audi","S3 2.0T Premium Plus",2016,96950,2,"Four-wheel Drive",4,1,0,7,21729
"Jaguar","XF 35t Premium",2016,74753,3,"Four-wheel Drive",4.5,1,0,6,17991
"Chevrolet","Silverado 1500 Custom",2017,79374,4.3,"Rear-wheel Drive",3,0,0,3,24500
"Alfa","Romeo Stelvio Base",2021,9585,2,"Four-wheel Drive",3,0,1,11,35995
"MINI","Hardtop Cooper S",2019,31111,2,"Front-wheel Drive",3,0,1,7,23998
"MINI","E Countryman Cooper S ALL4",2018,28436,1.5,"Four-wheel Drive",5,0,0,7,28798
"Mazda","CX-50 2.5 S Premium Plus Package",2023,7926,2.5,"Four-wheel Drive",4,0,1,8,35630
"BMW","430 i",2017,69470,2,"Rear-wheel Drive",5.5,1,0,6,26998
"FIAT","500X Pop",2018,74528,1.4,"Front-wheel Drive",4,0,0,5,14500
"Alfa","Romeo Giulia Base",2019,32993,2,"Rear-wheel Drive",3,0,1,9,26741
"Toyota","Highlander LE",2019,70014,3.5,"Front-wheel Drive",3.5,0,0,7,26000
"Volvo","XC40 T5 R-Design",2020,19697,2,"Four-wheel Drive",3,1,0,10,34499
"Jeep","Wrangler Unlimited 4xe Sahara",2021,18850,2,"Four-wheel Drive",4.5,0,1,10,47499
"Cadillac","XT6 Premium Luxury AWD",2023,1362,3.6,"Four-wheel Drive",2.5,0,1,9,58995
"MINI","Hardtop Cooper",2016,61653,1.5,"Front-wheel Drive",4.5,0,1,8,15895
"MINI","Cooper S Base",2007,67303,1.6,"Front-wheel Drive",4,0,1,2,7788
"Mazda","Mazda6 Signature",2019,17147,2.5,"Front-wheel Drive",4.5,0,1,9,29341
"Mercedes-Benz","AMG C 43 Base 4MATIC",2023,1704,2,"Four-wheel Drive",1,0,1,5,69987
"Volvo","XC60 T6 R-Design",2012,78711,3,"Four-wheel Drive",6.5,1,0,8,14495
"Nissan","Altima 2.5 S",2006,151825,2.5,"Front-wheel Drive",4.5,0,0,0,3800
"Audi","RS 5 2.9T",2021,5047,2.9,"Four-wheel Drive",3.5,1,0,8,72729
"Maserati","Quattroporte S Q4",2014,49063,3,"Four-wheel Drive",3.5,0,0,10,25800
"Mazda","CX-9 Touring",2019,33730,2.5,"Four-wheel Drive",3,1,1,10,26524
"Hyundai","Genesis 3.8",2016,54693,3.8,"Rear-wheel Drive",2.5,0,0,7,19994
"Kia","Sportage LX",2017,73176,2.4,"Four-wheel Drive",2.5,0,0,5,15452
"Mitsubishi","3000GT VR-4",1997,34482,3,"Four-wheel Drive",4.5,0,0,1,45000
"Honda","CR-V EX-L",2018,75526,1.5,"Four-wheel Drive",3,0,0,12,23500
"Volvo","S60 T5 Dynamic",2018,48117,2,"Four-wheel Drive",4.5,0,0,7,22250
"Maserati","Quattroporte S Q4",2015,44240,3,"Four-wheel Drive",3.5,0,0,9,31293
"Kia","K5 GT-Line",2022,27504,1.6,"Unknown",6,0,1,10,29998
"Maserati","Ghibli S Q4",2016,90804,3,"Four-wheel Drive",4.5,0,0,11,17699
"Maserati","Quattroporte GT",2022,1125,3,"Rear-wheel Drive",3.5,0,0,11,69577
"Mazda","MX-5 Miata RF Grand Touring",2019,13651,2,"Rear-wheel Drive",4,0,0,8,27201
"Alfa","Romeo Giulia Ti",2020,29223,2,"Rear-wheel Drive",4,0,1,10,30373
"Honda","Insight Touring",2019,49211,1.5,"Front-wheel Drive",3,0,0,13,23872
"BMW","640 Gran Coupe i xDrive",2016,91761,3,"Four-wheel Drive",4.5,0,0,8,24990
"Maserati","Levante Base",2018,42708,3,"Four-wheel Drive",3.5,0,1,10,44998
"Hyundai","Elantra Limited",2011,125609,1.8,"Front-wheel Drive",1.5,1,0,4,7998
"Audi","SQ5 3.0T Premium Plus",2019,33427,3,"Four-wheel Drive",2.5,1,1,9,40888
"Toyota","RAV4 Base",2007,131384,2.4,"Four-wheel Drive",2,1,0,1,9950
"Toyota","Tacoma TRD Sport",2020,28903,3.5,"Four-wheel Drive",2,1,1,8,38823
"Mitsubishi","Outlander SE",2020,35168,2.4,"Four-wheel Drive",2.5,0,0,9,21900
"Ford","Explorer Limited",2017,67760,3.5,"Four-wheel Drive",3.5,0,1,10,24970
"Cadillac","XT5 Premium Luxury",2020,32664,3.6,"Four-wheel Drive",1.5,0,0,14,36990
"Porsche","718 Cayman Base",2019,10277,2,"Rear-wheel Drive",2,0,1,5,66981
"Alfa","Romeo Stelvio Base",2020,37405,2,"Rear-wheel Drive",3,0,1,10,28861
"Toyota","Sequoia Limited",2022,33712,5.7,"Rear-wheel Drive",2,1,1,9,56900
"Chevrolet","Colorado LT",2020,20480,2.8,"Four-wheel Drive",3.5,0,0,6,38989
"Cadillac","SRX Luxury Collection",2016,86733,3.6,"Four-wheel Drive",3.5,0,0,6,19995
"Volvo","XC60 B5 Momentum",2022,13273,2,"Four-wheel Drive",3.5,0,1,8,42000
"Toyota","GR86 Base",2022,7990,2.4,"Rear-wheel Drive",5,0,1,8,35498
"Maserati","Levante Base",2018,32819,3,"Four-wheel Drive",4.5,0,0,6,41995
"Mercedes-Benz","Maybach GLS 600 4MATIC",2023,276,4,"Four-wheel Drive",2.5,0,0,10,196249
"Kia","Carnival SX Prestige",2022,6461,3.5,"Front-wheel Drive",4,0,0,12,50800
"Mitsubishi","Outlander SE",2022,18025,2.5,"Front-wheel Drive",2.5,0,1,8,29985
"Land","Rover Range Rover Velar S",2020,36850,2,"Four-wheel Drive",2.5,0,1,10,42000
"Nissan","GT-R Premium",2016,30809,3.8,"Four-wheel Drive",5,0,0,8,90000
"Mazda","Mazda6 Signature",2021,12140,2.5,"Front-wheel Drive",4.5,0,1,9,31000
"Audi","A5 2.0T Premium",2013,106752,2,"Four-wheel Drive",5,0,0,5,14711
"BMW","M3 Competition xDrive",2023,2031,3,"Four-wheel Drive",3,0,1,6,94996
"Nissan","Rogue SV",2015,94065,2.5,"Four-wheel Drive",4.5,1,0,4,15490
"Mercedes-Benz","GLB 250 Base",2021,28441,2,"Front-wheel Drive",4,0,1,10,38991
"Porsche","Panamera Turbo",2018,34824,4,"Four-wheel Drive",2,0,0,14,99000
"Volkswagen","Jetta TDI",2012,84800,2,"Front-wheel Drive",3.5,0,1,0,11746
"Mercedes-Benz","Sprinter 2500",2022,4155,3,"Rear-wheel Drive",1.5,0,1,3,174888
"Alfa","Romeo Giulia Ti",2018,32941,2,"Four-wheel Drive",5,0,0,9,35687
"Land","Rover Defender SE",2020,47217,3,"Four-wheel Drive",2.5,0,1,7,60594
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2019,41224,2,"Four-wheel Drive",2.5,0,1,8,39998
"Lexus","ES 300h Base",2017,101863,2.5,"Front-wheel Drive",0.5,1,0,6,23650
"Toyota","Tacoma SR5",2019,86425,3.5,"Four-wheel Drive",2,0,0,6,30400
"Lexus","RC 350 F Sport",2022,15810,3.5,"Rear-wheel Drive",4,0,1,0,57949
"Ford","F-150 XLT",2017,123643,3.5,"Four-wheel Drive",3,0,1,3,19477
"Mazda","Mazda3 i Sport",2016,88203,2,"Front-wheel Drive",4,1,0,1,13500
"Alfa","Romeo Stelvio Ti",2020,28136,2,"Four-wheel Drive",3,0,1,8,34975
"MINI","Convertible Cooper S",2021,37632,2,"Front-wheel Drive",4.5,1,1,10,29995
"BMW","M850 i xDrive",2020,12515,4.4,"Four-wheel Drive",4,0,1,9,78592
"Lexus","RX 350L Premium",2018,87664,3.5,"Four-wheel Drive",4,1,0,8,31981
"Mazda","Mazda6 Grand Touring Reserve",2021,16053,2.5,"Front-wheel Drive",4.5,0,1,9,31988
"FIAT","500 Pop",2018,20138,1.4,"Front-wheel Drive",2.5,0,1,4,14495
"Porsche","Cayenne Hybrid S",2014,60135,3,"Four-wheel Drive",4,1,0,5,24695
"Honda","CR-V LX",2005,132500,2.4,"Four-wheel Drive",2.5,1,0,1,7388
"FIAT","500C Pop",2017,33880,1.4,"Front-wheel Drive",3.5,0,1,3,13995
"Mazda","Mazda6 Touring",2019,12678,2.5,"Front-wheel Drive",6,1,1,10,27500
"Audi","S4 3.0T Prestige",2019,60305,3,"Four-wheel Drive",4.5,0,0,10,37950
"Ford","Expedition Limited",2020,58092,3.5,"Rear-wheel Drive",3,1,0,11,44904
"Kia","K5 LXS",2021,57866,1.6,"Unknown",3.5,0,0,7,25998
"Mitsubishi","Outlander SEL",2016,157468,2.4,"Front-wheel Drive",2.5,0,0,7,8999
"Hyundai","Santa Fe SEL 2.4",2020,11371,2.4,"Four-wheel Drive",2.5,0,1,9,25738
"Maserati","Levante Base",2017,66660,3,"Four-wheel Drive",3.5,1,0,6,33999
"Toyota","Sequoia Limited",2016,66848,5.7,"Four-wheel Drive",2,0,1,9,39499
"Nissan","Armada SL",2022,23206,5.6,"Four-wheel Drive",2.5,0,1,9,46991
"Hyundai","Santa Cruz SEL",2022,4196,2.5,"Four-wheel Drive",2.5,0,1,10,31763
"Ford","Mustang EcoBoost Premium",2017,29063,2.3,"Rear-wheel Drive",3,0,0,9,27998
"Land","Rover Range Rover Sport HSE",2020,35281,5,"Four-wheel Drive",2,0,1,12,58914
"Hyundai","Tucson GLS",2006,98848,2.7,"Front-wheel Drive",3.5,1,0,1,4999
"Hyundai","Santa Fe SE 2.4",2020,28795,2.4,"Front-wheel Drive",3.5,0,1,6,26990
"Porsche","Cayenne Hybrid S",2011,57838,3,"Four-wheel Drive",3,0,0,8,23000
"Cadillac","CTS 3.6L Luxury",2019,22750,3.6,"Four-wheel Drive",4.5,0,0,9,32497
"Lexus","LX 570 Two-Row",2021,27451,5.7,"Four-wheel Drive",4,0,1,11,74100
"Maserati","Levante Base",2017,90073,3,"Four-wheel Drive",3,1,0,12,30780
"Mercedes-Benz","AMG C 63 Base",2020,18818,4,"Rear-wheel Drive",3.5,0,0,8,64750
"Mitsubishi","Eclipse Spyder GS",2009,119172,2.4,"Front-wheel Drive",3.5,1,0,0,6700
"Maserati","Quattroporte S",2017,43403,3,"Rear-wheel Drive",3.5,0,0,10,30600
"Porsche","Macan S",2015,33439,3,"Four-wheel Drive",2.5,0,0,9,36998
"Cadillac","Escalade ESV Premium Luxury Platinum",2023,2921,6.2,"Four-wheel Drive",5,0,1,8,123990
"Kia","Sportage Hybrid SX-Prestige",2023,6264,1.6,"Four-wheel Drive",2.5,0,1,8,44887
"Audi","S3 2.0T Premium Plus",2017,53737,2,"Four-wheel Drive",3,0,0,9,29499
"Honda","Civic LX",2014,96098,1.8,"Front-wheel Drive",4.5,1,0,5,14000
"Mazda","Mazda6 Touring",2018,142988,2.5,"Front-wheel Drive",5,0,1,10,17991
"Lexus","RX 350 Base",2010,117243,3.5,"Front-wheel Drive",3.5,1,0,3,11999
"Audi","Q5 2.0T Premium Plus",2013,59137,2,"Four-wheel Drive",4,1,1,2,16619
"Maserati","Ghibli S Q4",2015,39710,3,"Four-wheel Drive",5,0,0,9,26995
"Audi","S4 3.0T Premium Plus",2019,83209,3,"Four-wheel Drive",4.5,0,0,5,39998
"Ford","E250 Cargo",2014,94870,5.4,"Rear-wheel Drive",1.5,1,0,1,17988
"Kia","Sorento LX V6",2020,78832,3.3,"Four-wheel Drive",2.5,0,1,6,19500
"Volvo","XC60 Recharge Plug-In Hybrid T8 Momentum",2020,34474,2,"Four-wheel Drive",3.5,0,1,11,42395
"Volvo","S80 3.2",2011,80700,3.2,"Front-wheel Drive",2.5,0,0,6,9950
"Toyota","Tundra SR",2019,31290,4.6,"Rear-wheel Drive",2,1,0,6,34895
"Volvo","XC60 B5 Momentum",2022,6792,2,"Four-wheel Drive",3.5,0,1,9,44058
"Lexus","IS 350 Base",2016,71536,3.5,"Rear-wheel Drive",1.5,1,0,7,27358
"Audi","A6 55 Premium Plus",2020,13657,2,"Four-wheel Drive",4,0,1,6,43995
"Kia","Sorento S",2021,32423,2.5,"Front-wheel Drive",3,0,1,10,30777
"Hyundai","Tucson Ultimate",2020,49682,2.4,"Front-wheel Drive",1.5,0,1,11,26095
"Hyundai","Santa Fe SEL 2.4",2020,32382,2.4,"Front-wheel Drive",2.5,0,1,9,26000
"Maserati","Quattroporte GTS",2014,63189,3.8,"Rear-wheel Drive",3.5,0,0,10,27885
"Porsche","911 Turbo",2002,54895,3.6,"Four-wheel Drive",2,0,0,4,69998
"Alfa","Romeo Giulia Base",2018,14678,2,"Four-wheel Drive",4.5,1,0,8,25495
"Jaguar","XF 35t Premium",2017,32887,3,"Four-wheel Drive",7.5,1,1,8,23495
"Mazda","Mazda6 Touring",2020,28579,2.5,"Front-wheel Drive",6,0,1,12,22095
"Jeep","Grand Cherokee Limited",2018,71537,3.6,"Four-wheel Drive",3.5,0,0,10,26999
"Hyundai","Sonata Hybrid SEL",2021,24529,2,"Front-wheel Drive",2,0,1,7,25397
"Alfa","Romeo Stelvio Quadrifoglio",2018,27413,2.9,"Four-wheel Drive",3,0,0,7,55950
"Mitsubishi","Outlander Sport SE",2022,37006,2,"Four-wheel Drive",2.5,0,1,8,22999
"Chevrolet","Corvette Stingray w/2LT",2020,14571,6.2,"Rear-wheel Drive",6,0,1,10,81888
"Ford","Bronco Big Bend",2021,5341,2.3,"Four-wheel Drive",9,0,1,7,50699
"Cadillac","Escalade ESV Premium Luxury",2019,69876,6.2,"Four-wheel Drive",3,0,0,11,46474
"Mazda","Mazda3 i Touring",2015,110229,2,"Front-wheel Drive",2.5,1,0,4,11175
"Land","Rover Range Rover Evoque Pure Plus",2015,90793,2,"Four-wheel Drive",2.5,0,0,6,17999
"Volkswagen","Tiguan 2.0T S",2019,44189,2,"Four-wheel Drive",3,1,0,6,16991
"Jeep","Grand Cherokee Overland",2015,98124,3.6,"Four-wheel Drive",3,0,0,10,20490
"Kia","Optima LX",2014,123822,2.4,"Front-wheel Drive",2.5,0,0,2,9999
"FIAT","500 Pop",2014,88231,1.4,"Front-wheel Drive",4.5,0,0,2,7999
"Maserati","GranTurismo Sport",2014,21256,4.7,"Rear-wheel Drive",4,1,0,6,42995
"Lexus","LX 570 Base",2017,69760,5.7,"Four-wheel Drive",3.5,1,0,14,59995
"Lexus","IS 350 F Sport",2023,2211,3.5,"Rear-wheel Drive",3.5,0,1,8,48498
"Jaguar","XF 35t Premium",2017,95047,3,"Rear-wheel Drive",3.5,0,0,8,19995
"Land","Rover Range Rover Velar P380 S",2019,20669,3,"Four-wheel Drive",3,1,1,10,45998
"Cadillac","Escalade ESV Premium Luxury",2022,13856,6.2,"Four-wheel Drive",4,0,1,16,100763
"Audi","A7 3.0T Prestige",2018,52619,3,"Four-wheel Drive",4.5,0,1,10,34960
"Volvo","S60 Inscription T5",2018,37175,2,"Four-wheel Drive",3.5,0,1,8,23995
"MINI","Cooper S Base",2009,83446,1.6,"Front-wheel Drive",5,0,0,3,8200
"Mazda","Mazda6 i Touring",2012,122099,2.5,"Front-wheel Drive",4,1,0,2,8991
"Hyundai","Tucson SE",2017,44986,2,"Front-wheel Drive",3.5,1,0,4,20495
"Maserati","Levante GT",2022,8842,3,"Four-wheel Drive",3,0,1,11,66297
"Mercedes-Benz","CLS-Class CLS 550",2008,141246,5.5,"Rear-wheel Drive",3,1,0,4,8492
"Maserati","Ghibli S Q4",2017,65228,3,"Four-wheel Drive",3.5,1,0,11,28000
"FIAT","500 Abarth",2013,92436,1.4,"Front-wheel Drive",3,0,0,6,10989
"Land","Rover Range Rover Sport 3.0L Supercharged HSE",2019,69546,3,"Four-wheel Drive",2.5,0,0,10,47112
"Mitsubishi","Outlander Sport ES",2019,73294,2,"Four-wheel Drive",2.5,1,0,3,18999
"Honda","Civic LX",2020,30000,2,"Front-wheel Drive",4,0,1,6,19399
"Audi","RS 7 4.0T quattro",2021,21701,4,"Four-wheel Drive",3.5,0,0,9,108890
"Honda","Civic LX",2016,94834,2,"Front-wheel Drive",5,1,0,4,16500
"Jaguar","F-PACE 25t Checkered Flag Limited Edition",2020,46760,2,"Four-wheel Drive",3,0,1,11,37109
"MINI","Convertible Cooper",2014,79379,1.6,"Front-wheel Drive",2.5,1,0,3,12488
"Kia","Sorento SX",2023,1642,2.5,"Front-wheel Drive",3,0,1,11,41261
"Ford","Fiesta ST",2016,77042,1.6,"Front-wheel Drive",3.5,0,0,5,16998
"Mazda","CX-5 Touring",2019,20187,2.5,"Four-wheel Drive",2.5,0,1,10,26600
"Chevrolet","Traverse LT Cloth",2018,56915,3.6,"Four-wheel Drive",4,0,0,8,27587
"Honda","Accord Sport SE",2022,10717,1.5,"Front-wheel Drive",3,1,1,11,30000
"Alfa","Romeo Giulia Veloce",2022,150,2,"Rear-wheel Drive",4.5,0,1,8,39573
"Kia","Seltos S",2021,1750,2,"Four-wheel Drive",2.5,0,1,7,25480
"Mercedes-Benz","AMG GLE 43 Base 4MATIC",2018,49957,3,"Four-wheel Drive",3,0,1,11,38495
"Land","Rover Range Rover Evoque SE Premium",2017,35937,2,"Four-wheel Drive",3.5,0,0,10,32998
"Chevrolet","Tahoe 4WD Z71",2021,73475,5.3,"Four-wheel Drive",2,0,1,14,61117
"FIAT","500 Pop",2015,55000,1.4,"Front-wheel Drive",4.5,0,0,2,9999
"Jeep","Grand Cherokee Laredo",2017,91158,3.6,"Rear-wheel Drive",2.5,1,0,5,18794
"Land","Rover Discovery Sport SE",2017,26479,2,"Four-wheel Drive",2.5,0,0,6,22007
"Audi","S6 4.0T Premium Plus",2017,68501,4,"Four-wheel Drive",4.5,0,0,5,40998
"MINI","Hardtop John Cooper Works",2020,11930,2,"Front-wheel Drive",3.5,0,1,11,29811
"Mitsubishi","Mirage ES",2015,72454,1.2,"Front-wheel Drive",4,0,0,3,7799
"Jeep","Wrangler Unlimited Sport",2016,57127,3.6,"Four-wheel Drive",4,0,0,2,22495
"Mazda","CX-9 Touring",2021,13626,2.5,"Four-wheel Drive",3,0,1,9,32100
"Lexus","IS 300 Base",2018,55702,2,"Rear-wheel Drive",1,1,0,8,27900
"Alfa","Romeo Giulia Ti",2018,59582,2,"Rear-wheel Drive",3,0,0,8,26368
"Volvo","XC90 T6 Inscription",2019,66597,2,"Four-wheel Drive",4.5,0,1,13,33800
"Nissan","Armada SV",2015,84756,5.6,"Rear-wheel Drive",3.5,0,1,3,18977
"Jeep","Liberty Sport",2012,118558,3.7,"Four-wheel Drive",3.5,0,0,3,9450
"Chevrolet","Tahoe LTZ",2008,254123,5.3,"Four-wheel Drive",2.5,0,0,2,8727
"Mitsubishi","Mirage ES",2020,28251,1.2,"Front-wheel Drive",3,1,0,4,13563
"Alfa","Romeo Giulia Ti",2022,1245,2,"Four-wheel Drive",3,0,1,8,39430
"Porsche","911 GT3",2016,16272,3.8,"Rear-wheel Drive",4,0,0,4,159999
"Chevrolet","Silverado 1500 LT Trail Boss",2020,48014,5.3,"Four-wheel Drive",1.5,0,1,7,40733
"Alfa","Romeo Stelvio Sport",2020,18914,2,"Rear-wheel Drive",4.5,0,1,9,30989
"Hyundai","IONIQ Hybrid Limited",2019,49229,1.6,"Front-wheel Drive",2.5,0,1,12,22900
"Audi","Q3 45 S line Premium Plus",2020,34882,2,"Four-wheel Drive",4,0,0,9,34515
"MINI","Cooper S Countryman Base",2011,102751,1.6,"Four-wheel Drive",4,1,0,2,8795
"MINI","Convertible Cooper",2021,8925,1.5,"Front-wheel Drive",4,0,1,9,27988
"BMW","740 i",2023,1206,3,"Rear-wheel Drive",3.5,0,1,6,100999
"Mazda","MX-5 Miata Club",2013,91823,2,"Rear-wheel Drive",4.5,1,0,1,14999
"Mazda","MX-5 Miata Club",2018,32531,2,"Rear-wheel Drive",2.5,0,0,4,25321
"Honda","Accord EX",2006,104480,3,"Front-wheel Drive",4.5,0,0,2,10995
"Ford","Expedition Limited",2020,62141,3.5,"Rear-wheel Drive",3,0,1,11,44293
"Honda","Civic EX",2009,88606,1.8,"Front-wheel Drive",5.5,0,1,0,9997
"Mazda","Mazda3 Sport",2017,36964,2,"Front-wheel Drive",3,1,1,4,18999
"Chevrolet","SS Base",2016,60295,6.2,"Rear-wheel Drive",3,0,0,7,43998
"MINI","Paceman Cooper S",2014,81037,1.6,"Front-wheel Drive",3.5,0,0,3,12990
"Mazda","CX-5 Touring",2020,33765,2.5,"Front-wheel Drive",2.5,1,1,10,26497
"Alfa","Romeo Giulia Ti",2021,49385,2,"Four-wheel Drive",3,0,1,6,31998
"Land","Rover Range Rover Sport HSE Dynamic",2018,57500,5,"Four-wheel Drive",4.5,0,1,10,49995
